name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
gtmre|Great 1000 Miles Rally (Evolution Model)|clone|kaneko/kaneko16.cpp|0|320|240|60.000000||gtmr||Kaneko
gunbird|Gun Bird (Japan)|parent|psikyo/psikyo.cpp|270|320|224|59.922743||||Psikyo
gundeala|Gun Dealer (set 2)|clone|dooyong/gundealr.cpp|270|256|224|60.000000||gundealr||Dooyong
gundealr|Gun Dealer (set 1)|parent|dooyong/gundealr.cpp|270|256|224|60.000000||||Dooyong
gunfight|Gun Fight|parent|midw8080/mw8080bw.cpp|0|260|224|59.541985||||Midway
gunforce|Gunforce - Battle Fire Engulfed Terror Island (World)|parent|irem/m92.cpp|0|320|240|60.000000||||Irem\M92
gunforcu|Gunforce - Battle Fire Engulfed Terror Island (US)|clone|irem/m92.cpp|0|320|240|60.000000||gunforce||Irem\M92
gunfronj|Gun Frontier (Japan)|clone|taito/taito_f2.cpp|270|320|224|60.000000||gunfront||Taito
gunfront|Gun & Frontier (World)|parent|taito/taito_f2.cpp|270|320|224|60.000000||||Taito
gunhohki|Gun Hohki (Japan)|clone|irem/m92.cpp|0|320|240|60.000000||mysticri||Irem\M92
gunsmoka|Gun.Smoke (US set 2)|clone|capcom/gunsmoke.cpp|270|256|224|59.637405||gunsmoke||Capcom
gunsmoke|Gun.Smoke (World)|parent|capcom/gunsmoke.cpp|270|256|224|59.637405||||Capcom
gunsmokj|Gun.Smoke (Japan)|clone|capcom/gunsmoke.cpp|270|256|224|59.637405||gunsmoke||Capcom
gunsmrom|Gun.Smoke (US set 1)|clone|capcom/gunsmoke.cpp|270|256|224|59.637405||gunsmoke||Capcom/Romstar
gururin|Gururin|parent|neogeo/neogeo.cpp|0|320|224|59.185606|neogeo|||Face/neogeo
gutangtn|Guttang Gottong|clone|namco/rallyx.cpp|90|256|224|60.606061||locomotn||Konami/Sega
guzzler|Guzzler|parent|nichibutsu/cclimber.cpp|90|256|224|60.570000||||Tehkan
gwar|Guerrilla War (US)|parent|snk/snk.cpp|270|400|224|60.000000||||SNK
gwara|Guerrilla War (Version 1)|clone|snk/snk.cpp|270|400|224|60.000000||gwar||SNK
gwarb|Guerrilla War (bootleg)|clone|snk/snk.cpp|270|400|224|60.000000||gwar||
gwarj|Guevara (Japan)|clone|snk/snk.cpp|270|400|224|60.000000||gwar||SNK
gwarrior|Galactic Warriors|parent|konami/nemesis.cpp|0|256|224|60.606061||||Konami
gypsyjug|Gypsy Juggler|parent|meadows/meadows.cpp|0|256|224|60.000000||||Meadows
gyrodine|Gyrodine|parent|orca/kyugo.cpp|90|288|224|60.000000||||Taito
gyruss|Gyruss (Konami)|parent|konami/gyruss.cpp|90|256|224|60.606061||||Konami
gyrussce|Gyruss (Centuri)|clone|konami/gyruss.cpp|90|256|224|60.606061||gyruss||Centuri/Konami
hachoo|Hachoo!|parent|jaleco/megasys1.cpp|0|256|224|56.191350||||Jaleco
hal21|HAL21|parent|snk/snk.cpp|270|288|216|60.000000||||SNK
hal21j|HAL21 (Japan)|clone|snk/snk.cpp|270|288|216|60.000000||hal21||SNK
hanaawas|Hana Awase (Flower Matching)|parent|seta/hanaawas.cpp|0|256|256|60.000000||||Seta
hangly|Hangly-Man (set 1)|clone|pacman/pacman.cpp|90|288|224|60.606061||pacman||
hangly2|Hangly-Man (set 2)|clone|pacman/pacman.cpp|90|288|224|60.606061||pacman||
hangon|Hang-On|parent|sega/segahang.cpp|0|320|224|60.054389||||Sega
hardhat|Hard Hat|parent|exidy/exidy.cpp|0|256|256|59.996811||||Exidy
hatena|Adventure Quiz 2 Hatena Hatena no Dai-Bouken (Japan)|parent|capcom/mitchell.cpp|0|384|240|57.420000||||Capcom
hatris|Hatris (Japan)|parent|vsystem/pipedrm.cpp|0|352|240|60.000000||||Video System
hattrick|Hat Trick|parent|midway/balsente.cpp|0|256|240|59.185606||||Bally/Sente
hbarrel|Heavy Barrel (US)|parent|dataeast/dec0.cpp|270|256|240|57.444853||||Data East
hbarrelw|Heavy Barrel (World)|clone|dataeast/dec0.cpp|270|256|240|57.444853||hbarrel||Data East
hcastle|Haunted Castle (set 1)|parent|konami/hcastle.cpp|0|256|224|59.000000||||Konami
