name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
chqflagj|Chequered Flag (Japan)|clone|konami/chqflag.cpp|90|304|224|59.185606||chqflag||Konami
chugokur|Zhong Guo Long (Japan, V020J)|clone|igs/igs011.cpp|0|512|240|60.000000||drgnwrld||Alta/IGS
chukatai|Chuka Taisen (World)|parent|taito/tnzs.cpp|0|256|224|59.150000||||Taito
chukataj|Chuka Taisen (Japan)|clone|taito/tnzs.cpp|0|256|224|59.150000||chukatai||Taito
chukatau|Chuka Taisen (US)|clone|taito/tnzs.cpp|0|256|224|59.150000||chukatai||Taito
chwrestl|Champion Pro Wrestling|parent|sega/sg1000a.cpp|0|280|216|59.922738||||Sega
chwy|Highway Chase (Cassette)|parent|dataeast/decocass.cpp|270|256|240|57.444853|decocass|||Data East
circus|Circus|parent|exidy/circus.cpp|0|248|256|57.000000||||Exidy
circusc|Circus Charlie (Selectable level set 1)|parent|konami/circusc.cpp|90|256|224|60.000000||||Konami
circusc2|Circus Charlie (Selectable level set 2)|clone|konami/circusc.cpp|90|256|224|60.000000||circusc||Konami
circusc3|Circus Charlie (No level select)|clone|konami/circusc.cpp|90|256|224|60.000000||circusc||Konami
circuscc|Circus Charlie (Centuri)|clone|konami/circusc.cpp|90|256|224|60.000000||circusc||Centuri/Konami
circusce|Circus Charlie (Centuri, earlier)|clone|konami/circusc.cpp|90|256|224|60.000000||circusc||Centuri/Konami
cischeat|Cisco Heat|parent|jaleco/cischeat.cpp|0|256|216|60.000000||||Jaleco
citybmrj|City Bomber (Japan)|clone|konami/nemesis.cpp|270|256|224|60.606061||citybomb||Konami
citybomb|City Bomber (World)|parent|konami/nemesis.cpp|270|256|224|60.606061||||Konami
citycon|City Connection (set 1)|parent|jaleco/citycon.cpp|0|240|224|59.637405||||Jaleco
citycona|City Connection (set 2)|clone|jaleco/citycon.cpp|0|240|224|59.637405||citycon||Jaleco
citylove|City Love (Japan 860908)|parent|nichibutsu/nbmj8688.cpp|0|512|224|60.000000||||Nichibutsu
ckong|Crazy Kong (set 1)|parent|nichibutsu/cclimber.cpp|270|256|224|60.000000||||Falcon
ckonga|Crazy Kong (set 2)|clone|nichibutsu/cclimber.cpp|270|256|224|60.000000||ckong||Falcon
ckongalc|Crazy Kong (Alca bootleg)|clone|nichibutsu/cclimber.cpp|270|256|224|60.000000||ckong||
ckongb|Crazy Kong (Alternative levels)|clone|nichibutsu/cclimber.cpp|270|256|224|60.000000||ckong||
ckongjeu|Crazy Kong (Jeutel bootleg)|clone|nichibutsu/cclimber.cpp|270|256|224|60.000000||ckong||
ckongo|Crazy Kong (Orca bootleg)|clone|nichibutsu/cclimber.cpp|270|256|224|60.000000||ckong||
ckongs|Crazy Kong (Scramble hardware)|clone|galaxian/galaxian.cpp|90|768|224|60.606061||ckong||
clapapa|Rootin' Tootin' (aka La.Pa.Pa) (Cassette)|parent|dataeast/decocass.cpp|270|256|240|57.444853|decocass|||Data East
clapapa2|Rootin' Tootin' (Cassette)|clone|dataeast/decocass.cpp|270|256|240|57.444853|decocass|clapapa||Data East
claypign|Clay Pigeon (version 2.0)|parent|exidy/exidy440.cpp|0|320|240|60.000000||||Exidy
clayshoo|Clay Shoot|parent|alliedleisure/clayshoo.cpp|0|256|192|60.000000||||Allied Leisure
clbowl|Coors Light Bowling|clone|itech/capbowl.cpp|270|360|245|57.000000||capbowl||ITech
cleopatr|Cleopatra Fortune (Ver 2.1J 1996/09/05)|parent|taito/taito_f3.cpp|0|320|224|58.970000||||Taito\F3
cloak|Cloak & Dagger (rev 5)|parent|atari/cloak.cpp|0|256|232|60.000000||||Atari
cloakfr|Cloak & Dagger (French)|clone|atari/cloak.cpp|0|256|232|60.000000||cloak||Atari
cloakgr|Cloak & Dagger (German)|clone|atari/cloak.cpp|0|256|232|60.000000||cloak||Atari
cloaksp|Cloak & Dagger (Spanish)|clone|atari/cloak.cpp|0|256|232|60.000000||cloak||Atari
clocknch|Lock'n'Chase (Cassette)|parent|dataeast/decocass.cpp|270|256|240|57.444853|decocass|||Data East
cloud9|Cloud 9 (prototype)|parent|atari/cloud9.cpp|0|256|232|61.035156||||Atari
clowns|Clowns (rev. 2)|parent|midw8080/mw8080bw.cpp|0|260|224|59.541985||||Midway
clowns1|Clowns (rev. 1)|clone|midw8080/mw8080bw.cpp|0|260|224|59.541985||clowns||Midway
clshrdst|Clash-Road (Status license)|clone|nichibutsu/clshroad.cpp|0|288|224|60.606061||clshroad||Status Games/Woodplace
clshroad|Clash-Road|parent|nichibutsu/clshroad.cpp|0|288|224|60.606061||||Woodplace
cltchitr|Clutch Hitter (set 2, US, FD1094 317-0176)|parent|sega/segas18.cpp|0|320|224|57.230000||||Sega\System18
cltchtrj|Clutch Hitter (set 1, Japan, FD1094 317-0175)|clone|sega/segas18.cpp|0|320|224|57.230000||cltchitr||Sega\System18
club90s|Mahjong CLUB 90's (set 1) (Japan 900919)|parent|nichibutsu/nbmj8891.cpp|0|512|240|60.000000||||Nichibutsu
club90sa|Mahjong CLUB 90's (set 2) (Japan 900919)|clone|nichibutsu/nbmj8891.cpp|0|512|240|60.000000||club90s||Nichibutsu
cluckypo|Lucky Poker (Cassette)|parent|dataeast/decocass.cpp|270|256|240|57.444853|decocass|||Data East
cluclu|Vs. Clu Clu Land|parent|nintendo/vsnes.cpp|0|256|240|60.098476||||Nintendo
