name|description|type|sourcefile|rotate|width|height|refresh|bios|parent|status|manufacter
mslug3b6|Metal Slug 6 [Bootleg, bootleg of Metal Slug 3]|clone|neogeo/neogeo.cpp|0||||neogeo|mslug3||neogeo
mslugx|Metal Slug X - super vehicle-001|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
mpang|Mighty! Pang (001010 USA)|parent|capcom/cps2.cpp|0|||||||Capcom\CPS2/Mitchell
mpangj|Mighty! Pang (001011 Japan)|clone|capcom/cps2.cpp|0|||||mpang||Capcom\CPS2/Mitchell
minasan|Minnasanno Okagesamadesu|parent|neogeo/neogeo.cpp|0||||neogeo|||Monolith/neogeo
miexchng|Money Puzzle Exchanger|parent|neogeo/neogeo.cpp|0||||neogeo|||Face/neogeo
moremore|More More|parent|kaneko/snowbros.cpp|0|||||||Exit/SemiCom
moremorp|More More Plus|parent|kaneko/snowbros.cpp|0|||||||Exit/SemiCom
mbomberj|Muscle Bomber - the body explosion (930713 Japan)|clone|capcom/cps1.cpp|0|||||slammast||Capcom\CPS1
mbombrdj|Muscle Bomber Duo - heat up warriors (931206 Japan)|clone|capcom/cps1.cpp|0|||||slammast||Capcom\CPS1
mbombrd|Muscle Bomber Duo - ultimate team battle (931206 etc)|clone|capcom/cps1.cpp|0|||||slammast||Capcom\CPS1
mutnat|Mutation Nation|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
mvpj|MVP (set 1, Japan, FD1094 317-0142) [Incomplete Sound]|clone|sega/segas16b.cpp|0|||||mvp||Sega\System16
mvp|MVP (set 2, US, FD1094 317-0143) [Incomplete Sound]|parent|sega/segas16b.cpp|0|||||||Sega\System16
nam1975|NAM - 1975|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
nemoj|Nemo (90 11 20 Japan)|clone|capcom/cps1.cpp|0|||||nemo||Capcom\CPS1
nemo|Nemo (90 11 30 etc)|parent|capcom/cps1.cpp|0|||||||Capcom\CPS1
neobombe|Neo Bomberman|parent|neogeo/neogeo.cpp|0||||neogeo|||Hudson Soft/neogeo
neodrift|Neo Drift Out - new technology|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/Visco
neomrdo|Neo Mr. Do!|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/Visco
turfmast|Neo Turf Masters|parent|neogeo/neogeo.cpp|0||||neogeo|||Nazca/neogeo
neocup98|Neo-Geo Cup '98 - the road to the victory|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/SNK
news|News (set 1)|parent|misc/news.cpp|0|||||||Poby/Virus
newsa|News (set 2)|clone|misc/news.cpp|0|||||news||Poby/Virus
nwarrb|Night Warriors - darkstalkers' revenge (950403 Brazil)|clone|capcom/cps2.cpp|0|||||nwarr||Capcom\CPS2
nwarrh|Night Warriors - darkstalkers' revenge (950403 Hispanic)|clone|capcom/cps2.cpp|0|||||nwarr||Capcom\CPS2
nwarr|Night Warriors - darkstalkers' revenge (950406 USA)|parent|capcom/cps2.cpp|0|||||||Capcom\CPS2
nitd|Nightmare in the Dark|parent|neogeo/neogeo.cpp|0||||neogeo|||Eleven/Gavaking/neogeo
ncombat|Ninja Combat (set 1)|parent|neogeo/neogeo.cpp|0||||neogeo|||Alpha Denshi/neogeo
ncombata|Ninja Combat (set 2)|clone|neogeo/neogeo.cpp|0||||neogeo|ncombat||Alpha Denshi/neogeo
ncommand|Ninja Commando|parent|neogeo/neogeo.cpp|0||||neogeo|||Alpha Denshi/neogeo
ninjamas|Ninja Master's haoh ninpo cho|parent|neogeo/neogeo.cpp|0||||neogeo|||ADK/neogeo/SNK
ohmygod|Oh My God!|parent|atlus/ohmygod.cpp|0|||||||Atlus
opwolfb|Operation Bear (bootleg) [Bootleg]|clone|taito/opwolf.cpp|0|||||opwolf||Bear
ragnagrd|Operation Ragnagard|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/Saurus
outrunb|Out Run (bootleg) [Bootleg]|clone|sega/segaorun.cpp|0|||||outrun||
outrun1|Out Run (deluxe sitdown)|clone|sega/segaorun.cpp|0|||||outrun||Sega
outrun2|Out Run (sitdown/upright, Rev A)|clone|sega/segaorun.cpp|0|||||outrun||Sega
outrun|Out Run (sitdown/upright, Rev B)|parent|sega/segaorun.cpp|0|||||||Sega
outzone|Out Zone (set 1)|parent|toaplan/toaplan1.cpp|270|||||||Toaplan
outzonea|Out Zone (set 2)|clone|toaplan/toaplan1.cpp|270|||||outzone||Toaplan
outzoneb|Out Zone (set 3, prototype?)|clone|toaplan/toaplan1.cpp|270|||||outzone||Toaplan
outzonec|Out Zone (set 4)|clone|toaplan/toaplan1.cpp|270|||||outzone||Toaplan
overtop|OverTop|parent|neogeo/neogeo.cpp|0||||neogeo|||ADK/neogeo
pang3|Pang! 3 (950511 Euro)|parent|capcom/cps1.cpp|0|||||||Capcom\CPS1/Mitchell
pang3j|Pang! 3 (950511 Japan)|clone|capcom/cps1.cpp|0|||||pang3||Capcom\CPS1/Mitchell
panicbom|Panic Bomber|parent|neogeo/neogeo.cpp|0||||neogeo|||Hudson Soft/neogeo
passshtj|Passing Shot (Japan, 4 Players, FD1094 317-0070) [Incomplete Sound]|clone|sega/segas16b.cpp|270|||||passsht||Sega\System16
passsht|Passing Shot (World, 2 Players, FD1094 317-0080) [Incomplete Sound]|parent|sega/segas16b.cpp|270|||||||Sega\System16
passshta|Passing Shot (World, 4 Players, FD1094 317-0074) [Incomplete Sound]|clone|sega/segas16b.cpp|270|||||passsht||Sega\System16
pgoal|Pleasure Goal - 5 on 5 mini soccer|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/Saurus
pnickj|Pnickies (940608 Japan)|parent|capcom/cps1.cpp|0|||||||Capcom\CPS1/Compile
pnyaa|Pochi and Nyaa|parent|neogeo/neogeo.cpp|0||||neogeo|||Aiky/neogeo/Taito
pfghtj|Pocket Fighter (970904 Japan)|clone|capcom/cps2.cpp|0|||||sgemf||Capcom\CPS2
popbounc|Pop 'n Bounce|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/Video System
pdriftj|Power Drift (Japan)|clone|sega/segaybd.cpp|0|||||pdrift||Sega
pdrifta|Power Drift (World)|clone|sega/segaybd.cpp|0|||||pdrift||Sega
pdrifte|Power Drift (World, Earlier)|clone|sega/segaybd.cpp|0|||||pdrift||Sega
pdrift|Power Drift (World, Rev A)|parent|sega/segaybd.cpp|0|||||||Sega
pspikes2|Power Spikes II|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/Video System
pgearr1|Powered Gear - strategic variant armor equipment (940916 Japan)|clone|capcom/cps2.cpp|0|||||armwar||Capcom\CPS2
pgear|Powered Gear - strategic variant armor equipment (941024 Japan)|clone|capcom/cps2.cpp|0|||||armwar||Capcom\CPS2
preisle2|Prehistoric Isle 2|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/Saurus/Yumekobo
prehislu|Prehistoric Isle in 1930 (US) [Incomplete Sound]|clone|snk/prehisle.cpp|0|||||prehisle||SNK
prehisle|Prehistoric Isle in 1930 (World) [Incomplete Sound]|parent|snk/prehisle.cpp|0|||||||SNK
sailormo|Pretty Soldier Sailor Moon (version 95/03/22)|clone|misc/cave.cpp|0|||||sailormn||BanPresto/Gazelle
sailormn|Pretty Soldier Sailor Moon (version 95/03/22B)|parent|misc/cave.cpp|0|||||||BanPresto/Gazelle
progeara|Progear (010117 Asia)|clone|capcom/cps2.cpp|0|||||progear||Capcom\CPS2/Cave
progear|Progear (010117 USA)|parent|capcom/cps2.cpp|0|||||||Capcom\CPS2/Cave
progearj|Progear No Arashi (010117 Japan)|clone|capcom/cps2.cpp|0|||||progear||Capcom\CPS2/Cave
pulstar|Pulstar|parent|neogeo/neogeo.cpp|0||||neogeo|||Aicom/neogeo
pzloop2j|Puzz Loop 2 (010205 Japan)|clone|capcom/cps2.cpp|0|||||pzloop2||Capcom\CPS2/Mitchell/Capcom
pzloop2|Puzz Loop 2 (010302 Euro)|parent|capcom/cps2.cpp|0|||||||Capcom\CPS2/Mitchell/Capcom
pbobblen|Puzzle Bobble (set 1)|parent|neogeo/neogeo.cpp|0||||neogeo|||neogeo/Taito
pbobblna|Puzzle Bobble (set 2)|clone|neogeo/neogeo.cpp|0||||neogeo|pbobblen||neogeo/Taito
